year,neighborhood,borough,num
2016,Bayside Little Neck-Fresh Meadows,Queens,6.9
2010,Bayside Little Neck-Fresh Meadows,Queens,9.1
2011,Bayside Little Neck-Fresh Meadows,Queens,9.7
2017,Bayside Little Neck-Fresh Meadows,Queens,7
2014,Bayside Little Neck-Fresh Meadows,Queens,8.4
2012,Bayside Little Neck-Fresh Meadows,Queens,8.6
2013,Bayside Little Neck-Fresh Meadows,Queens,8.1
2015,Bayside Little Neck-Fresh Meadows,Queens,8.2
2018,Bayside Little Neck-Fresh Meadows,Queens,6.5
2009,Bayside Little Neck-Fresh Meadows,Queens,9.8
2017,Bedford Stuyvesant - Crown Heights,Brooklyn,7.5
2012,Bedford Stuyvesant - Crown Heights,Brooklyn,9.1
2013,Bedford Stuyvesant - Crown Heights,Brooklyn,8.8
2010,Bedford Stuyvesant - Crown Heights,Brooklyn,9.9
2014,Bedford Stuyvesant - Crown Heights,Brooklyn,9.2
2015,Bedford Stuyvesant - Crown Heights,Brooklyn,8.9
2016,Bedford Stuyvesant - Crown Heights,Brooklyn,7.9
2018,Bedford Stuyvesant - Crown Heights,Brooklyn,7.3
2011,Bedford Stuyvesant - Crown Heights,Brooklyn,10.3
2009,Bedford Stuyvesant - Crown Heights,Brooklyn,10.8
2016,Bensonhurst - Bay Ridge,Brooklyn,7.1
2009,Bensonhurst - Bay Ridge,Brooklyn,9.9
2012,Bensonhurst - Bay Ridge,Brooklyn,8.6
2013,Bensonhurst - Bay Ridge,Brooklyn,8.2
2014,Bensonhurst - Bay Ridge,Brooklyn,8.6
2015,Bensonhurst - Bay Ridge,Brooklyn,8.1
2010,Bensonhurst - Bay Ridge,Brooklyn,9.2
2011,Bensonhurst - Bay Ridge,Brooklyn,9.8
2017,Bensonhurst - Bay Ridge,Brooklyn,7.1
2018,Bensonhurst - Bay Ridge,Brooklyn,6.7
2016,Borough Park,Brooklyn,7.5
2011,Borough Park,Brooklyn,10.1
2013,Borough Park,Brooklyn,8.5
2014,Borough Park,Brooklyn,8.9
2017,Borough Park,Brooklyn,7.3
2018,Borough Park,Brooklyn,7
2010,Borough Park,Brooklyn,9.6
2015,Borough Park,Brooklyn,8.4
2009,Borough Park,Brooklyn,10.3
2012,Borough Park,Brooklyn,8.9
2013,Canarsie - Flatlands,Brooklyn,8.2
2017,Canarsie - Flatlands,Brooklyn,7
2010,Canarsie - Flatlands,Brooklyn,9.1
2011,Canarsie - Flatlands,Brooklyn,9.6
2016,Canarsie - Flatlands,Brooklyn,7.1
2018,Canarsie - Flatlands,Brooklyn,6.7
2014,Canarsie - Flatlands,Brooklyn,8.5
2015,Canarsie - Flatlands,Brooklyn,8.1
2009,Canarsie - Flatlands,Brooklyn,9.9
2012,Canarsie - Flatlands,Brooklyn,8.4
2012,Central Harlem - Morningside Heights,Manhattan,10
2016,Central Harlem - Morningside Heights,Manhattan,8
2018,Central Harlem - Morningside Heights,Manhattan,7.5
2009,Central Harlem - Morningside Heights,Manhattan,11.6
2011,Central Harlem - Morningside Heights,Manhattan,11.1
2014,Central Harlem - Morningside Heights,Manhattan,9.7
2010,Central Harlem - Morningside Heights,Manhattan,10.6
2013,Central Harlem - Morningside Heights,Manhattan,9.7
2015,Central Harlem - Morningside Heights,Manhattan,9.4
2017,Central Harlem - Morningside Heights,Manhattan,7.9
2013,Chelsea-Village,Manhattan,11.9
2016,Chelsea-Village,Manhattan,10.1
2017,Chelsea-Village,Manhattan,9.6
2009,Chelsea-Village,Manhattan,13.7
2010,Chelsea-Village,Manhattan,12.7
2014,Chelsea-Village,Manhattan,12.1
2018,Chelsea-Village,Manhattan,9.6
2011,Chelsea-Village,Manhattan,12.9
2015,Chelsea-Village,Manhattan,11.1
2012,Chelsea-Village,Manhattan,11.9
2017,Coney Island - Sheepshead Bay,Brooklyn,6.8
2012,Coney Island - Sheepshead Bay,Brooklyn,8.3
2014,Coney Island - Sheepshead Bay,Brooklyn,8.4
2015,Coney Island - Sheepshead Bay,Brooklyn,7.7
2016,Coney Island - Sheepshead Bay,Brooklyn,6.8
2010,Coney Island - Sheepshead Bay,Brooklyn,8.9
2011,Coney Island - Sheepshead Bay,Brooklyn,9.4
2018,Coney Island - Sheepshead Bay,Brooklyn,6.6
2009,Coney Island - Sheepshead Bay,Brooklyn,9.6
2013,Coney Island - Sheepshead Bay,Brooklyn,8.1
2016,Downtown - Heights - Slope,Brooklyn,8.9
2009,Downtown - Heights - Slope,Brooklyn,11.5
2017,Downtown - Heights - Slope,Brooklyn,8.4
2018,Downtown - Heights - Slope,Brooklyn,7.9
2014,Downtown - Heights - Slope,Brooklyn,10
2010,Downtown - Heights - Slope,Brooklyn,10.5
2013,Downtown - Heights - Slope,Brooklyn,9.5
2015,Downtown - Heights - Slope,Brooklyn,9.9
2011,Downtown - Heights - Slope,Brooklyn,11.1
2012,Downtown - Heights - Slope,Brooklyn,9.9
2016,East Flatbush - Flatbush,Brooklyn,7.6
